reaction	kingdom	input	input name	reagent	reagent name	output	output name	output 2	output 2 name	type	type name	desc.	references
1	PLA	CHEBI:53407	PLA			CHEBI:83221	methyl lactate
2	PLA	CHEBI:83221	methyl lactate			CHEBI:177651	lactide			MOP:0000787
3	PLA	CHEBI:83221	methyl lactate			CHEBI:78320	lactic acid			MOP:0000619	hydrolysis
4	PLA	CHEBI:78320	2-hydroxypropanoic acid			CHEBI:177651	lactide
5	PLA	CHEBI:177651	lactide			CHEBI:53407	PLA
6	PET	CHEBI:53259	PET	CHEBI:30742	ethylene glycol	CHEBI:231672	BHET			MOP:0000787	transesterification		https://doi.org/10.1002/cssc.202300192
7	PET	CHEBI:53259	PET	CHEBI:17790	methanol	CHEBI:156286	DMT			MOP:0000623	methanolysis		https://doi.org/10.1002/cssc.202300192
8	PET	CHEBI:53259	PET	CHEBI:16000	ethanolamine	CHEBI:747240	BHETA			MOP:0000621	aminolysis		https://doi.org/10.1039/D4SU00658E
9	PET	CHEBI:53259	PET	CHEBI:30630	propylenediamine					MOP:0000621	aminolysis	In addition to ethanolamine, other amines like liquid ammonia and aliphatic polyamines, such as 1,3-diaminopropane (DAP), ethylenediamine, diethyltriamine (DETA), triethyltetramine (TETA), are also used for the aminolysis of PET. These polyamines from intermediates with PET that can react with other substances to produce valuable chemicals or industrial materials.	https://doi.org/10.1039/D4SU00658E, figure 15
10	PET	CHEBI:231672	BHET			CHEBI:53259	PET	CHEBI:30742	ethylene glycol	MOP:0000644	polycondensation	chemical catalysis (already on industry scale)
11	PET	CHEBI:231672	BHET			CHEBI:15702	TPA			MOP:0000619	hydrolysis		https://onlinelibrary.wiley.com/doi/10.1002/jobm.202000053
12	PET	CHEBI:53259	PET			CHEBI:15702	TPA			MOP:0000619	hydrolysis		https://doi.org/10.1002/anie.202117528
13	PET	CHEBI:156286	DMT	CHEBI:18276	Hâ‚‚	CHEBI:747241	DMCD			MOP:0000589	hydrogenation		https://doi.org/10.1039/D4SU00658E
14	PET	CHEBI:30742	ethylene glycol	CHEBI:747242	arylboronic acid	CHEBI:747243	arylboronic ester				boronic esterification		https://doi.org/10.1039/D4SU00658E
15	PET	CHEBI:30742	ethylene glycol	CHEBI:36596	dimethyl carbonate	CHEBI:178725	ethylene carbonate				esterification		https://doi.org/10.1039/D4SU00658E
16	PET	CHEBI:15702	TPA			CHEBI:30746	benzoic acid			MOP:0001713	decarboxylation		https://doi.org/10.1039/D4SU00658E
17	PET	CHEBI:30742	ethylene glycol			CHEBI:15343	acetaldehyde			MOP:0000628	dehydration		https://doi.org/10.1039/D4SU00658E
18	PET	CHEBI:747241	DMCD			CHEBI:747245	CHDM				hydrogenolysis		https://doi.org/10.1016/j.cej.2024.157249
19	PET	CHEBI:156286	DMT			CHEBI:15702	TPA			MOP:0000619	hydrolysis		https://doi.org/10.1002/jctb.7035
20	PET	CHEBI:15702	TPA	CHEBI:30742	ethylene glycol	CHEBI:53259	PET			MOP:0000644	polycondensation		https://doi.org/10.1039/D5SU00316D
21	PET	CHEBI:156286	DMT	CHEBI:30742	ethylene glycol	CHEBI:53259	PET			MOP:0000644	polycondensation		https://doi.org/10.1039/D5SU00316D
22	PET	CHEBI:15702	TPA			CHEBI:231672	BHET				esterification		https://doi.org/10.1002/cssc.202100400
23	PET	CHEBI:53259	PET	CHEBI:28938	ammonium	CHEBI:38802	terephthalamide			MOP:0000621	aminolysis		https://doi.org/10.1002/cssc.202100400
24	PET	CHEBI:38802	terephthalamide			cas:623-26-7	terephthalonitrile			MOP:0000569	reduction		https://doi.org/10.1002/cssc.202100400
25	PET	cas:623-26-7	terephthalonitrile			cas:539-48-0	p-xylenediamine 			MOP:0000589	hydrogenation		https://doi.org/10.1002/cssc.202100400
26	PET	cas:623-26-7	terephthalonitrile			cas:2549-93-1	1,4-bis(aminomethyl)cyclohexane			MOP:0000589	hydrogenation
